,ticker,name,date,pre_close,open,low,high,close
0,000016,上证50,2017-10-10,2692.0769,2693.251,2671.9426,2711.3065,2695.5374
1,000016,上证50,2017-10-11,2695.5374,2694.4982,2692.7692,2717.3281,2707.5221
2,000016,上证50,2017-10-12,2707.5221,2706.4203,2702.3134,2724.8346,2718.3508
3,000016,上证50,2017-10-13,2718.3508,2716.0041,2711.9544,2722.2311,2713.3767
4,000016,上证50,2017-10-16,2713.3767,2719.3095,2715.0511,2741.0971,2726.6423
5,000016,上证50,2017-10-17,2726.6423,2725.1997,2716.4042,2734.3072,2723.5345
6,000016,上证50,2017-10-18,2723.5345,2725.6666,2723.7626,2753.9229,2753.0105
7,000300,沪深300,2017-10-10,3882.2076,3883.0037,3855.4666,3900.7418,3889.8637
8,000300,沪深300,2017-10-11,3889.8637,3886.8184,3885.497,3913.0695,3902.6868
9,000300,沪深300,2017-10-12,3902.6868,3902.0156,3897.5472,3917.4435,3912.9536
10,000300,沪深300,2017-10-13,3912.9536,3912.975,3908.8885,3927.1744,3921.0017
11,000300,沪深300,2017-10-16,3921.0017,3926.2754,3913.3224,3947.4239,3913.4462
12,000300,沪深300,2017-10-17,3913.4462,3910.7894,3900.4758,3924.6141,3913.0688
13,000300,沪深300,2017-10-18,3913.0688,3914.8152,3914.8152,3944.4106,3944.1626
14,000905,中证500,2017-10-10,6678.371,6677.3723,6658.8617,6705.7177,6705.4812
15,000905,中证500,2017-10-11,6705.4812,6702.6899,6661.0883,6703.5828,6666.4696
16,000905,中证500,2017-10-12,6666.4696,6658.1296,6611.9745,6674.3844,6659.0957
17,000905,中证500,2017-10-13,6659.0957,6660.0264,6659.8792,6711.9305,6709.8164
18,000905,中证500,2017-10-16,6709.8164,6709.8738,6609.6192,6709.8738,6619.2056
19,000905,中证500,2017-10-17,6619.2056,6604.33,6589.5417,6644.7522,6612.9428
20,000905,中证500,2017-10-18,6612.9428,6612.4885,6557.6601,6630.6685,6563.4369
